X,Y,FACILITY_ID,TIME,CAPACITY,OCCUPATION,PERCENTAGE_OF_OCCUPATION
-900.0,-810.0,111_curbside_sensor,25200.0,0,0,0.0
-700.0,-810.0,112_curbside_sensor,25200.0,0,0,0.0
-500.0,-810.0,113_curbside_sensor,25200.0,0,0,0.0
-100.0,-810.0,115_curbside_sensor,25200.0,0,0,0.0
100.0,-810.0,116_curbside_sensor,25200.0,9,0,0.0
300.0,-810.0,117_curbside_sensor,25200.0,0,0,0.0
500.0,-810.0,118_curbside_sensor,25200.0,0,0,0.0
700.0,-810.0,119_curbside_sensor,25200.0,0,0,0.0
900.0,-810.0,120_curbside_sensor,25200.0,0,0,0.0
-900.0,-610.0,122_curbside_sensor,25200.0,0,0,0.0
-700.0,-610.0,123_curbside_sensor,25200.0,7,0,0.0
-500.0,-610.0,124_curbside_sensor,25200.0,8,0,0.0
-300.0,-610.0,125_curbside_sensor,25200.0,0,0,0.0
-100.0,-610.0,126_curbside_sensor,25200.0,0,0,0.0
100.0,-610.0,127_curbside_sensor,25200.0,0,0,0.0
300.0,-610.0,128_curbside_sensor,25200.0,7,0,0.0
500.0,-610.0,129_curbside_sensor,25200.0,0,0,0.0
700.0,-610.0,130_curbside_sensor,25200.0,0,0,0.0
900.0,-610.0,131_curbside_sensor,25200.0,0,0,0.0
-900.0,-410.0,133_curbside_sensor,25200.0,0,0,0.0
-700.0,-410.0,134_curbside_sensor,25200.0,7,0,0.0
-500.0,-410.0,135_curbside_sensor,25200.0,8,0,0.0
-300.0,-410.0,136_curbside_sensor,25200.0,0,0,0.0
-100.0,-410.0,137_curbside_sensor,25200.0,9,0,0.0
100.0,-410.0,138_curbside_sensor,25200.0,0,0,0.0
300.0,-410.0,139_curbside_sensor,25200.0,7,0,0.0
500.0,-410.0,140_curbside_sensor,25200.0,0,0,0.0
700.0,-410.0,141_curbside_sensor,25200.0,0,0,0.0
900.0,-410.0,142_curbside_sensor,25200.0,9,0,0.0
-900.0,-210.0,143_curbside_sensor,25200.0,0,0,0.0
-700.0,-210.0,144_curbside_sensor,25200.0,0,0,0.0
-500.0,-210.0,145_curbside_sensor,25200.0,9,0,0.0
-300.0,-210.0,146_curbside_sensor,25200.0,0,0,0.0
-100.0,-210.0,147_curbside_sensor,25200.0,0,0,0.0
100.0,-210.0,148_curbside_sensor,25200.0,8,0,0.0
300.0,-210.0,149_curbside_sensor,25200.0,0,0,0.0
500.0,-210.0,150_curbside_sensor,25200.0,0,0,0.0
700.0,-210.0,151_curbside_sensor,25200.0,0,0,0.0
900.0,-210.0,152_curbside_sensor,25200.0,0,0,0.0
-790.0,-900.0,202_curbside_sensor,25200.0,0,0,0.0
-590.0,-900.0,203_curbside_sensor,25200.0,7,0,0.0
-390.0,-900.0,204_curbside_sensor,25200.0,0,0,0.0
-190.0,-900.0,205_curbside_sensor,25200.0,8,0,0.0
10.0,-900.0,206_curbside_sensor,25200.0,0,0,0.0
190.0,-900.0,207_curbside_sensor,25200.0,9,0,0.0
390.0,-900.0,208_curbside_sensor,25200.0,0,0,0.0
590.0,-900.0,209_curbside_sensor,25200.0,0,0,0.0
790.0,-900.0,210_curbside_sensor,25200.0,0,0,0.0
-790.0,-700.0,212_curbside_sensor,25200.0,7,0,0.0
-590.0,-700.0,213_curbside_sensor,25200.0,0,0,0.0
-390.0,-700.0,214_curbside_sensor,25200.0,0,0,0.0
-190.0,-700.0,215_curbside_sensor,25200.0,0,0,0.0
10.0,-700.0,216_curbside_sensor,25200.0,0,0,0.0
190.0,-700.0,217_curbside_sensor,25200.0,0,0,0.0
390.0,-700.0,218_curbside_sensor,25200.0,0,0,0.0
590.0,-700.0,219_curbside_sensor,25200.0,0,0,0.0
790.0,-700.0,220_curbside_sensor,25200.0,0,0,0.0
-790.0,-500.0,223_curbside_sensor,25200.0,0,0,0.0
-590.0,-500.0,224_curbside_sensor,25200.0,0,0,0.0
-390.0,-500.0,225_curbside_sensor,25200.0,0,0,0.0
-190.0,-500.0,226_curbside_sensor,25200.0,0,0,0.0
10.0,-500.0,227_curbside_sensor,25200.0,7,0,0.0
190.0,-500.0,228_curbside_sensor,25200.0,0,0,0.0
390.0,-500.0,229_curbside_sensor,25200.0,0,0,0.0
590.0,-500.0,230_curbside_sensor,25200.0,0,0,0.0
790.0,-500.0,231_curbside_sensor,25200.0,0,0,0.0
-790.0,-300.0,234_curbside_sensor,25200.0,0,0,0.0
-590.0,-300.0,235_curbside_sensor,25200.0,0,0,0.0
-390.0,-300.0,236_curbside_sensor,25200.0,0,0,0.0
-190.0,-300.0,237_curbside_sensor,25200.0,0,0,0.0
10.0,-300.0,238_curbside_sensor,25200.0,0,0,0.0
190.0,-300.0,239_curbside_sensor,25200.0,0,0,0.0
390.0,-300.0,240_curbside_sensor,25200.0,0,0,0.0
590.0,-300.0,241_curbside_sensor,25200.0,0,0,0.0
790.0,-300.0,242_curbside_sensor,25200.0,7,0,0.0
-790.0,-100.0,255_curbside_sensor,25200.0,0,0,0.0
-590.0,-100.0,256_curbside_sensor,25200.0,0,0,0.0
-390.0,-100.0,257_curbside_sensor,25200.0,9,0,0.0
-190.0,-100.0,258_curbside_sensor,25200.0,8,0,0.0
10.0,-100.0,259_curbside_sensor,25200.0,0,0,0.0
190.0,-100.0,260_curbside_sensor,25200.0,0,0,0.0
390.0,-100.0,261_curbside_sensor,25200.0,7,0,0.0
590.0,-100.0,262_curbside_sensor,25200.0,0,0,0.0
790.0,-100.0,263_curbside_sensor,25200.0,0,0,0.0
-900.0,-790.0,311_curbside_sensor,25200.0,0,0,0.0
-700.0,-790.0,312_curbside_sensor,25200.0,0,0,0.0
-500.0,-790.0,313_curbside_sensor,25200.0,0,0,0.0
-300.0,-790.0,314_curbside_sensor,25200.0,0,0,0.0
-100.0,-790.0,315_curbside_sensor,25200.0,8,0,0.0
100.0,-790.0,316_curbside_sensor,25200.0,0,0,0.0
300.0,-790.0,317_curbside_sensor,25200.0,0,0,0.0
500.0,-790.0,318_curbside_sensor,25200.0,0,0,0.0
700.0,-790.0,319_curbside_sensor,25200.0,0,0,0.0
900.0,-790.0,320_curbside_sensor,25200.0,7,0,0.0
-900.0,-590.0,322_curbside_sensor,25200.0,0,0,0.0
-700.0,-590.0,323_curbside_sensor,25200.0,0,0,0.0
-500.0,-590.0,324_curbside_sensor,25200.0,0,0,0.0
-300.0,-590.0,325_curbside_sensor,25200.0,8,0,0.0
-100.0,-590.0,326_curbside_sensor,25200.0,0,0,0.0
100.0,-590.0,327_curbside_sensor,25200.0,0,0,0.0
300.0,-590.0,328_curbside_sensor,25200.0,0,0,0.0
500.0,-590.0,329_curbside_sensor,25200.0,0,0,0.0
700.0,-590.0,330_curbside_sensor,25200.0,9,0,0.0
900.0,-590.0,331_curbside_sensor,25200.0,0,0,0.0
-900.0,-390.0,333_curbside_sensor,25200.0,0,0,0.0
-700.0,-390.0,334_curbside_sensor,25200.0,7,0,0.0
-500.0,-390.0,335_curbside_sensor,25200.0,9,0,0.0
